,surface,tourney_date,winner_id,winner_hand,winner_ht,winner_age,loser_id,loser_hand,loser_ht,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Month,Quarter
0,Hard,2020-01-06,104925,R,188.0,32.6269678303,104745,L,185.0,33.5934291581,3,2.0,9055.0,1.0,9985.0,1,1
1,Hard,2020-01-06,105138,R,183.0,31.7289527721,105583,R,180.0,29.5195071869,3,10.0,2335.0,34.0,1251.0,1,1
2,Hard,2020-01-06,104925,R,188.0,32.6269678303,106421,R,,23.901437371700002,3,2.0,9055.0,5.0,5705.0,1,1
3,Hard,2020-01-06,105583,R,180.0,29.5195071869,111575,R,,23.627652293,3,34.0,1251.0,17.0,1840.0,1,1
4,Hard,2020-01-06,104745,L,185.0,33.5934291581,200282,R,,20.8843258042,3,1.0,9985.0,18.0,1775.0,1,1
5,Hard,2020-01-06,105138,R,183.0,31.7289527721,106401,R,193.0,24.6954140999,3,10.0,2335.0,29.0,1375.0,1,1
6,Hard,2020-01-06,104925,R,188.0,32.6269678303,133430,L,,20.7282683094,3,2.0,9055.0,14.0,2050.0,1,1
7,Hard,2020-01-06,105583,R,180.0,29.5195071869,200000,R,,19.4113620808,3,34.0,1251.0,21.0,1636.0,1,1
8,Hard,2020-01-06,106421,R,,23.901437371700002,106043,R,170.0,27.3894592745,3,5.0,5705.0,13.0,2125.0,1,1
9,Hard,2020-01-06,111575,R,,23.627652293,105550,L,185.0,29.6399726215,3,17.0,1840.0,25.0,1530.0,1,1
10,Hard,2020-01-06,105554,R,175.0,29.623545516799997,200282,R,,20.8843258042,3,42.0,1124.0,18.0,1775.0,1,1
11,Hard,2020-01-06,106401,R,193.0,24.6954140999,111815,L,,24.372347707,3,29.0,1375.0,52.0,975.0,1,1
12,Hard,2020-01-06,105676,R,163.0,29.0814510609,104745,L,185.0,33.5934291581,3,11.0,2335.0,1.0,9985.0,1,1
13,Hard,2020-01-06,105138,R,183.0,31.7289527721,106293,R,,25.9110198494,3,10.0,2335.0,158.0,328.0,1,1
14,Hard,2020-01-06,104925,R,188.0,32.6269678303,104792,R,193.0,33.3470225873,3,2.0,9055.0,9.0,2530.0,1,1
15,Hard,2020-01-06,105332,R,196.0,30.6639288159,105583,R,180.0,29.5195071869,3,24.0,1538.0,34.0,1251.0,1,1
16,Hard,2020-01-06,104925,R,188.0,32.6269678303,104731,R,203.0,33.637234770700005,3,2.0,9055.0,147.0,360.0,1,1
17,Hard,2020-01-06,105583,R,180.0,29.5195071869,144750,R,,22.8637919233,3,34.0,1251.0,99.0,569.0,1,1
18,Hard,2020-01-06,104925,R,188.0,32.6269678303,106426,R,,23.603011635900003,3,2.0,9055.0,33.0,1291.0,1,1
19,Hard,2020-01-06,105583,R,180.0,29.5195071869,111797,R,,24.2381930185,3,34.0,1251.0,77.0,675.0,1,1
20,Hard,2020-01-06,104731,R,203.0,33.637234770700005,105332,R,196.0,30.6639288159,3,147.0,360.0,24.0,1538.0,1,1
21,Hard,2020-01-06,104468,R,183.0,35.0253251198,144750,R,,22.8637919233,3,57.0,910.0,99.0,569.0,1,1
22,Hard,2020-01-06,104792,R,193.0,33.3470225873,106426,R,,23.603011635900003,3,9.0,2530.0,33.0,1291.0,1,1
23,Hard,2020-01-06,105332,R,196.0,30.6639288159,111797,R,,24.2381930185,3,24.0,1538.0,77.0,675.0,1,1
24,Hard,2020-01-06,104731,R,203.0,33.637234770700005,106426,R,,23.603011635900003,3,147.0,360.0,33.0,1291.0,1,1
25,Hard,2020-01-06,144750,R,,22.8637919233,111797,R,,24.2381930185,3,99.0,569.0,77.0,675.0,1,1
26,Hard,2020-01-06,104745,L,185.0,33.5934291581,106415,L,,24.276522929499997,3,1.0,9985.0,72.0,764.0,1,1
27,Hard,2020-01-06,105138,R,183.0,31.7289527721,104424,R,178.0,35.3347022587,3,10.0,2335.0,119.0,461.0,1,1
28,Hard,2020-01-06,104745,L,185.0,33.5934291581,105932,R,185.0,27.868583162199997,3,1.0,9985.0,26.0,1450.0,1,1
29,Hard,2020-01-06,105138,R,183.0,31.7289527721,106223,R,,26.4065708419,3,10.0,2335.0,678.0,29.0,1,1
30,Hard,2020-01-06,104745,L,185.0,33.5934291581,104655,R,180.0,34.012320328499996,3,1.0,9985.0,45.0,1097.0,1,1
31,Hard,2020-01-06,105138,R,183.0,31.7289527721,208364,U,,19.9151266256,3,10.0,2335.0,,,1,1
32,Hard,2020-01-06,106415,L,,24.276522929499997,105932,R,185.0,27.868583162199997,3,72.0,764.0,26.0,1450.0,1,1
33,Hard,2020-01-06,104424,R,178.0,35.3347022587,106223,R,,26.4065708419,3,119.0,461.0,678.0,29.0,1,1
34,Hard,2020-01-06,106415,L,,24.276522929499997,104655,R,180.0,34.012320328499996,3,72.0,764.0,45.0,1097.0,1,1
35,Hard,2020-01-06,104424,R,178.0,35.3347022587,105899,R,,27.9780971937,3,119.0,461.0,523.0,52.0,1,1
36,Hard,2020-01-06,105932,R,185.0,27.868583162199997,104655,R,180.0,34.012320328499996,3,26.0,1450.0,45.0,1097.0,1,1
37,Hard,2020-01-06,106223,R,,26.4065708419,208364,U,,19.9151266256,3,678.0,29.0,,,1,1
38,Hard,2020-01-06,105554,R,175.0,29.623545516799997,105676,R,163.0,29.0814510609,3,42.0,1124.0,11.0,2335.0,1,1
39,Hard,2020-01-06,104327,R,178.0,35.8165639973,111815,L,,24.372347707,3,200.0,242.0,52.0,975.0,1,1
40,Hard,2020-01-06,105676,R,163.0,29.0814510609,105777,R,188.0,28.643394935,3,11.0,2335.0,20.0,1702.0,1,1
